performerId,name,shortName,type,performer_score,performer_popularity,homeVenueId,isEvent,divisionName,divisionShortName,taxonomyName,taxonomySubName,performer_popularity_level,has_home_venue
2089,Brooklyn Nets,Nets,nba,0.69,24246,7546.0,False,Eastern - Atlantic,Atlantic,sports,basketball,Medium,1
2097,Milwaukee Bucks,Bucks,nba,0.66,23935,435592.0,False,Eastern - Central,Central,sports,basketball,Medium,1
2100,Miami Heat,Heat,nba,0.69,16555,183.0,False,Eastern - Southeast,Southeast,sports,basketball,Medium,1
2104,Minnesota Timberwolves,Timberwolves,nba,0.69,1206,135.0,False,Western - Northwest,Northwest,sports,basketball,Low,1
2105,Oklahoma City Thunder,Thunder,nba,0.73,556,208.0,False,Western - Northwest,Northwest,sports,basketball,Low,1
2108,Golden State Warriors,Warriors,nba,0.71,38616,467029.0,False,Western - Pacific,Pacific,sports,basketball,Medium,1
2110,Los Angeles Lakers,Lakers,nba,0.76,14681,134.0,False,Western - Pacific,Pacific,sports,basketball,Medium,1
2112,Sacramento Kings,Kings,nba,0.65,23935,177304.0,False,Western - Pacific,Pacific,sports,basketball,Medium,1
2116,New Orleans Pelicans,Pelicans,nba,0.7,913,184.0,False,Western - Southwest,Southwest,sports,basketball,Low,1
2117,San Antonio Spurs,Spurs,nba,0.77,14681,185.0,False,Western - Southwest,Southwest,sports,basketball,Medium,1
23508,NBA Summer League,NBA Summer League,nba,0.58,20810,950.0,True,No Division,No Division,sports,basketball,Medium,1
684126,California Classic,California Classic,nba,0.55,38616,177304.0,True,No Division,No Division,sports,basketball,Medium,1
793993,Salt Lake City Summer League,Salt Lake City Summer League,nba,0.7,80005,188.0,True,No Division,No Division,sports,basketball,Medium,1
2136,Nashville Predators,Predators,nhl,0.65,1756,2195.0,False,Western - Central,Central,sports,hockey,Low,1
2142,Vancouver Canucks,Canucks,nhl,0.63,1354,2983.0,False,Western - Pacific,Pacific,sports,hockey,Low,1
2135,Detroit Red Wings,Red Wings,nhl,0.66,1295,420444.0,False,Eastern - Atlantic,Atlantic,sports,hockey,Low,1
2134,Columbus Blue Jackets,Blue Jackets,nhl,0.63,798,430.0,False,Eastern - Metropolitan,Metropolitan,sports,hockey,Low,1
2132,Washington Capitals,Capitals,nhl,0.68,3010,181.0,False,Eastern - Metropolitan,Metropolitan,sports,hockey,Medium,1
2131,Tampa Bay Lightning,Lightning,nhl,0.67,1268,182.0,False,Eastern - Atlantic,Atlantic,sports,hockey,Low,1
12521,NHL Winter Classic,NHL Winter Classic,nhl,0.83,17457,Unknown,True,No Division,No Division,sports,hockey,Medium,0
2130,Florida Panthers,Panthers,nhl,0.75,881,126.0,False,Eastern - Atlantic,Atlantic,sports,hockey,Low,1
2139,Colorado Avalanche,Avalanche,nhl,0.68,18607,187.0,False,Western - Central,Central,sports,hockey,Medium,1
2128,Winnipeg Jets,Jets,nhl,0.64,1507,98.0,False,Western - Central,Central,sports,hockey,Low,1
2125,Montreal Canadiens,Canadiens,nhl,0.68,947,139.0,False,Eastern - Atlantic,Atlantic,sports,hockey,Low,1
149285,NHL Draft,NHL Draft,nhl,0.55,9834,Unknown,True,No Division,No Division,sports,hockey,Medium,0
794055,Seattle Kraken,Kraken,nhl,0.64,1450,176.0,False,Western - Pacific,Pacific,sports,hockey,Low,1
2124,Buffalo Sabres,Sabres,nhl,0.66,1177,212.0,False,Eastern - Atlantic,Atlantic,sports,hockey,Low,1
627288,Vegas Golden Knights,Golden Knights,nhl,0.71,14606,161601.0,False,Western - Pacific,Pacific,sports,hockey,Medium,1
2123,Boston Bruins,Bruins,nhl,0.69,2811,1544.0,False,Eastern - Atlantic,Atlantic,sports,hockey,Low,1
304538,NHL Stadium Series,NHL Stadium Series,nhl,0.83,12708,Unknown,True,No Division,No Division,sports,hockey,Medium,0
260530,NHL Heritage Classic,NHL Heritage Classic,nhl,0.7,811,Unknown,True,No Division,No Division,sports,hockey,Low,0
2147,San Jose Sharks,Sharks,nhl,0.63,3825,157.0,False,Western - Pacific,Pacific,sports,hockey,Medium,1
811913,Utah Mammoth,Mammoth,nhl,0.75,18926,188.0,False,Western - Central,Central,sports,hockey,Medium,1
2145,Los Angeles Kings,Kings,nhl,0.64,1162,134.0,False,Western - Pacific,Pacific,sports,hockey,Low,1
2144,Dallas Stars,Stars,nhl,0.7,12708,117.0,False,Western - Central,Central,sports,hockey,Medium,1
2122,Pittsburgh Penguins,Penguins,nhl,0.67,898,2265.0,False,Eastern - Metropolitan,Metropolitan,sports,hockey,Low,1
2121,Philadelphia Flyers,Flyers,nhl,0.67,1964,3148.0,False,Eastern - Metropolitan,Metropolitan,sports,hockey,Low,1
2120,New York Rangers,Rangers,nhl,0.7,2091,93.0,False,Eastern - Metropolitan,Metropolitan,sports,hockey,Low,1
2119,New York Islanders,Islanders,nhl,0.64,1793,518722.0,False,Eastern - Metropolitan,Metropolitan,sports,hockey,Low,1
2118,New Jersey Devils,Devils,nhl,0.65,1776,1500.0,False,Eastern - Metropolitan,Metropolitan,sports,hockey,Low,1
2140,Edmonton Oilers,Oilers,nhl,0.71,841,75884.0,False,Western - Pacific,Pacific,sports,hockey,Low,1
2143,Anaheim Ducks,Ducks,nhl,0.64,1136,133.0,False,Western - Pacific,Pacific,sports,hockey,Low,1
2138,Calgary Flames,Flames,nhl,0.63,797,96.0,False,Western - Pacific,Pacific,sports,hockey,Low,1
2078,Washington Commanders,Commanders,nfl,0.86,564533,35.0,False,NFC East,NFC East,sports,football,Elite,1
2071,Houston Texans,Texans,nfl,0.81,277395,41.0,False,AFC South,AFC South,sports,football,High,1
809925,AT&T Stadium Self-Guided Rally Day Tour,AT&T Stadium Self-Guided Rally Day Tour,stadium_tours,0.43,10,Unknown,False,No Division,No Division,sports,football,Low,0
2067,Tampa Bay Buccaneers,Buccaneers,nfl,0.81,289750,39.0,False,NFC South,NFC South,sports,football,High,1
2068,Detroit Lions,Lions,nfl,0.82,311214,346.0,False,NFC North,NFC North,sports,football,High,1
2069,New Orleans Saints,Saints,nfl,0.84,444567,128.0,False,NFC South,NFC South,sports,football,High,1
2065,Indianapolis Colts,Colts,nfl,0.78,190051,1130.0,False,AFC South,AFC South,sports,football,High,1
2064,Jacksonville Jaguars,Jaguars,nfl,0.79,188678,5178.0,False,AFC South,AFC South,sports,football,High,1
2072,Minnesota Vikings,Vikings,nfl,0.81,263738,218451.0,False,NFC North,NFC North,sports,football,High,1
2073,Cleveland Browns,Browns,nfl,0.79,189781,1123.0,False,AFC North,AFC North,sports,football,High,1
2074,Denver Broncos,Broncos,nfl,0.82,378129,1131.0,False,AFC West,AFC West,sports,football,High,1
2075,Cincinnati Bengals,Bengals,nfl,0.81,263174,1124.0,False,AFC North,AFC North,sports,football,High,1
2076,San Francisco 49ers,49ers,nfl,0.85,522939,58670.0,False,NFC West,NFC West,sports,football,Elite,1
2077,Arizona Cardinals,Cardinals,nfl,0.76,614299,43.0,False,NFC West,NFC West,sports,football,Elite,1
2063,Carolina Panthers,Panthers,nfl,0.79,255075,1122.0,False,NFC South,NFC South,sports,football,High,1
2079,New York Giants,Giants,nfl,0.82,352779,1587.0,False,NFC East,NFC East,sports,football,High,1
2080,Los Angeles Rams,Rams,nfl,0.83,372993,487036.0,False,NFC West,NFC West,sports,football,High,1
2081,Seattle Seahawks,Seahawks,nfl,0.84,479604,339.0,False,NFC West,NFC West,sports,football,High,1
2082,Chicago Bears,Bears,nfl,0.83,430301,31.0,False,NFC North,NFC North,sports,football,High,1
2083,Green Bay Packers,Packers,nfl,0.84,461650,1125.0,False,NFC North,NFC North,sports,football,High,1
2084,Buffalo Bills,Bills,nfl,0.83,421055,1135.0,False,AFC East,AFC East,sports,football,High,1
2085,New England Patriots,Patriots,nfl,0.82,303307,33.0,False,AFC East,AFC East,sports,football,High,1
2086,Los Angeles Chargers,Chargers,nfl,0.81,239029,487036.0,False,AFC West,AFC West,sports,football,High,1
2087,Las Vegas Raiders,Raiders,nfl,0.83,457215,514837.0,False,AFC West,AFC West,sports,football,High,1
2062,Philadelphia Eagles,Eagles,nfl,0.87,699598,330.0,False,NFC East,NFC East,sports,football,Elite,1
2070,New York Jets,Jets,nfl,0.79,215152,1587.0,False,AFC East,AFC East,sports,football,High,1
2061,Baltimore Ravens,Ravens,nfl,0.84,357913,1121.0,False,AFC North,AFC North,sports,football,High,1
2060,Kansas City Chiefs,Chiefs,nfl,0.83,312562,1128.0,False,AFC West,AFC West,sports,football,High,1
2059,Atlanta Falcons,Falcons,nfl,0.8,290016,419590.0,False,NFC South,NFC South,sports,football,High,1
2058,Miami Dolphins,Dolphins,nfl,0.79,250437,29.0,False,AFC East,AFC East,sports,football,High,1
2057,Tennessee Titans,Titans,nfl,0.83,393216,1126.0,False,AFC South,AFC South,sports,football,High,1
2056,Pittsburgh Steelers,Steelers,nfl,0.83,386877,1119.0,False,AFC North,AFC North,sports,football,High,1
607347,TBD,TBD,band,0.55,0,Unknown,False,No Division,No Division,concert,concert,Low,0
1954364,AT&T Stadium VIP Guided Rally Day Tour,AT&T Stadium VIP Guided Rally Day Tour,stadium_tours,0.45,1300,Unknown,False,No Division,No Division,sports,football,Low,0
799458,Kansas City Chiefs Tailgates,Kansas City Chiefs Tailgates,nfl,0.45,121,1128.0,True,No Division,No Division,sports,football,Low,1
2066,Dallas Cowboys,Cowboys,nfl,0.87,1134281,4965.0,False,NFC East,NFC East,sports,football,Elite,1
807539,AT&T Stadium VIP Guided Tour,AT&T Stadium VIP Guided Tour,stadium_tours,0.41,4323,Unknown,False,No Division,No Division,sports,football,Medium,0
806011,NFL International Series,NFL International Series,nfl,0.77,54604,Unknown,True,No Division,No Division,sports,football,Medium,0
803931,Dallas Cowboys Fan Experiences,Dallas Cowboys Fan Experiences,nfl,0.65,19198,521360.0,True,No Division,No Division,sports,football,Medium,1
117841,NFL Hall of Fame Enshrinement,NFL Hall of Fame Enshrinement,nfl,0.61,336,Unknown,True,No Division,No Division,sports,football,Low,0
810600,AT&T Stadium Owner's Experience Tour,AT&T Stadium Owner's Experience Tour,stadium_tours,0.31,0,Unknown,False,No Division,No Division,sports,football,Low,0
793882,Arizona Cardinals Training Camp,Arizona Cardinals Training Camp,nfl,0.3,109,43.0,True,No Division,No Division,sports,football,Low,1
140920,NFL Hall Of Fame Game,NFL Hall Of Fame Game,nfl,0.74,10951,Unknown,True,No Division,No Division,sports,football,Medium,0
1,Los Angeles Dodgers,Dodgers,mlb,0.81,6941922,1.0,False,National League West,NL West,sports,baseball,Elite,1
8,New York Yankees,Yankees,mlb,0.77,5227227,8.0,False,American League East,AL East,sports,baseball,Elite,1
9,Washington Nationals,Nationals,mlb,0.72,2978952,3713.0,False,National League East,NL East,sports,baseball,Elite,1
21,Boston Red Sox,Red Sox,mlb,0.76,4220341,21.0,False,American League East,AL East,sports,baseball,Elite,1
10,Pittsburgh Pirates,Pirates,mlb,0.72,3559320,10.0,False,National League Central,NL Central,sports,baseball,Elite,1
20,Houston Astros,Astros,mlb,0.73,2407365,20.0,False,American League West,AL West,sports,baseball,Elite,1
2,Atlanta Braves,Braves,mlb,0.75,4264376,418889.0,False,National League East,NL East,sports,baseball,Elite,1
19,Minnesota Twins,Twins,mlb,0.71,2546381,3712.0,False,American League Central,AL Central,sports,baseball,Elite,1
22,San Francisco Giants,Giants,mlb,0.76,2854343,22.0,False,National League West,NL West,sports,baseball,Elite,1
23,Chicago White Sox,White Sox,mlb,0.72,2470343,3715.0,False,American League Central,AL Central,sports,baseball,Elite,1
24,San Diego Padres,Padres,mlb,0.76,5698491,24.0,False,National League West,NL West,sports,baseball,Elite,1
25,Baltimore Orioles,Orioles,mlb,0.73,2460029,25.0,False,American League East,AL East,sports,baseball,Elite,1
26,Cincinnati Reds,Reds,mlb,0.72,2244148,26.0,False,National League Central,NL Central,sports,baseball,Elite,1
18,Philadelphia Phillies,Phillies,mlb,0.76,4280667,18.0,False,National League East,NL East,sports,baseball,Elite,1
27,St. Louis Cardinals,Cardinals,mlb,0.73,4042657,27.0,False,National League Central,NL Central,sports,baseball,Elite,1
28,Los Angeles Angels,Angels,mlb,0.72,1990839,28.0,False,American League West,AL West,sports,baseball,Elite,1
29,Miami Marlins,Marlins,mlb,0.7,1805304,6371.0,False,National League East,NL East,sports,baseball,Elite,1
3,New York Mets,Mets,mlb,0.75,3688336,3.0,False,National League East,NL East,sports,baseball,Elite,1
30,Arizona Diamondbacks,Diamondbacks,mlb,0.74,2453321,30.0,False,National League West,NL West,sports,baseball,Elite,1
17,Toronto Blue Jays,Blue Jays,mlb,0.77,3516387,17.0,False,American League East,AL East,sports,baseball,Elite,1
4,Tampa Bay Rays,Rays,mlb,0.71,2401644,4.0,False,American League East,AL East,sports,baseball,Elite,1
5,Kansas City Royals,Royals,mlb,0.71,2069489,3714.0,False,American League Central,AL Central,sports,baseball,Elite,1
6,Cleveland Guardians,Guardians,mlb,0.72,2508360,6.0,False,American League Central,AL Central,sports,baseball,Elite,1
16,Texas Rangers,Rangers,mlb,0.74,2670088,487468.0,False,American League West,AL West,sports,baseball,Elite,1
1022,Kansas,Kansas,band,0.47,2800,Unknown,False,No Division,No Division,concert,concert,Low,0
7,Colorado Rockies,Rockies,mlb,0.72,2560578,7.0,False,National League West,NL West,sports,baseball,Elite,1
720652,Dizgo,Dizgo,band,0.39,30,Unknown,False,No Division,No Division,concert,concert,Low,0
11,Chicago Cubs,Cubs,mlb,0.78,5335374,11.0,False,National League Central,NL Central,sports,baseball,Elite,1
12,Detroit Tigers,Tigers,mlb,0.72,2762855,12.0,False,American League Central,AL Central,sports,baseball,Elite,1
13,Seattle Mariners,Mariners,mlb,0.74,2802179,13.0,False,American League West,AL West,sports,baseball,Elite,1
14,Athletics,Athletics,mlb,0.71,2148094,317.0,False,American League West,AL West,sports,baseball,Elite,1
15,Milwaukee Brewers,Brewers,mlb,0.73,2593698,15.0,False,National League Central,NL Central,sports,baseball,Elite,1
796002,Field of Dreams Game,Field of Dreams Game,mlb,0.86,85492,Unknown,True,No Division,No Division,sports,baseball,Medium,0
9243,Iowa Cubs,Iowa Cubs,minor_league_baseball,0.39,6635,Unknown,False,No Division,No Division,sports,baseball,Medium,0
15655,St. Paul Saints,St. Paul Saints,minor_league_baseball,0.41,8543,Unknown,False,No Division,No Division,sports,baseball,Medium,0
803002,MLB Futures and Legends Game,MLB Futures and Legends Game,mlb,0.73,33816,Unknown,True,No Division,No Division,sports,baseball,Medium,0
792397,MLB Home Run Derby,MLB Home Run Derby,mlb,0.9,588287,Unknown,True,No Division,No Division,sports,baseball,Elite,0
7264,MLB All-Star Game,MLB All-Star Game,mlb,0.88,1246395,Unknown,True,No Division,No Division,sports,baseball,Elite,0
149290,NBA Draft,NBA Draft,nba,0.6,7689,Unknown,True,No Division,No Division,sports,basketball,Medium,0
7331,Gowan,Gowan,band,0.33,301,Unknown,False,No Division,No Division,concert,concert,Low,0
14344,NHL Stanley Cup Finals,NHL Stanley Cup Finals,nhl,0.85,1661451,Unknown,True,No Division,No Division,sports,hockey,Elite,0
